2021-07-13 20:00:00 | /errorHandler.js(32) | K4nXdS2BCl0xfMwZN0hgNiH5Xdwfyzdv | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:02 | /errorHandler.js(32) | YVefUKeqt0TEqYZnL4lo0S2fRLreXbRr | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:20 | /errorHandler.js(32) | lhWn6NXYj0hPmJ3ZXgBWDtaQziiTV30e | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:22 | /errorHandler.js(32) | tHpIuyWe8ptb7o5MFeeQxvnywMIPeikp | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:40 | /errorHandler.js(32) | RCnllYTcWgMMqkAhrCJqdJUSJWUxuCP2 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:41 | /errorHandler.js(32) | RCnllYTcWgMMqkAhrCJqdJUSJWUxuCP2 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:00:42 | /errorHandler.js(32) | 9CosVghHu7yXmYry9yqnFJz2OEQghyKy | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:00:54 | /errorHandler.js(32) | s9RfVFGvsDmqsqWnVv0nvpqKiVjhunKV | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:01:00 | /errorHandler.js(32) | zO68BPJ511eF2eCYHwiia45zDfm2pjgU | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:01:02 | /errorHandler.js(32) | thJtuPwUCzhAsqAo8C59yd323RdvMgPV | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:01:20 | /errorHandler.js(32) | eBeofwjNOqwB6QKcmCobduVSpZnRQ1KL | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
